address,seconds until unlock,distribution amount (BPTs)
0x1c494f1919c1512ebe74a5dcc17dac9a64069023,86149956,"1,618.915842869040000000"
0xb8aa5d63491c087d40fee4311a89b1dcd74b0fdb,98563076,"1,617.632388496070000000"
0xc766d73be01caa06834032bf5c8f8f0f41a7bf36,85189519,"1,614.263515049920000000"
0xb020936042fbf3472b6bdb34628bcca3cf78da4c,78097436,"1,607.237231956490000000"
0x480a1309f9bcc435be85998f54db2d440b1a892f,107336122,"1,599.211901614420000000"
0xb13e63a5bfa4e4532f808987e374b132dc6a0e18,91633349,"1,592.338448033730000000"
0x94c07beaec7e4d36de056a2630d17271e0acacd6,24773196,"1,588.040232700440000000"
0xc399cb4679a5f59a6a4f00473437d0273dd5d7b4,94375930,"1,565.671330326820000000"
0xb2467f2db0c62c9cdb7482a0a71a3f4f6f9c32a5,83238414,"1,564.909567454630000000"
0xd762205476ea5649c689a8a703488572c8b3007d,77020318,"1,564.908913830090000000"
0x75b94b59e59f31f1c1744396c189a4f22cc569e2,48512308,"1,564.908913830030000000"
